index,word,weight,number_of_words
338,simpel,3.0,1.0
339,sirap hati,1.0,2.0
340,puspa,4.0,1.0
341,mengenyam,1.0,1.0
342,merah telinga,1.0,2.0
343,bonafide,3.0,1.0
344,terbakar,1.0,1.0
345,bergairah,3.0,1.0
346,puspita,3.0,1.0
347,pelengkap,2.0,1.0
348,perempuan cantik,5.0,2.0
349,sewot,1.0,1.0
350,gusar,1.0,1.0
351,hiasan,3.0,1.0
352,kesuma,3.0,1.0
353,primadona,5.0,1.0
354,tulus ikhlas,5.0,2.0
355,senyuman,4.0,1.0
356,lugas,4.0,1.0
357,gemas,4.0,1.0
358,kusuma,4.0,1.0
359,yaudah,1.0,1.0
360,menyayang,4.0,1.0
361,menggemari,3.0,1.0
362,pasangan hidup,4.0,2.0
363,asah asih asuh,2.0,3.0
364,belom,1.0,1.0
365,hay,1.0,1.0
366,kepedulian,4.0,1.0
367,sepuh,1.0,1.0
368,kejelasan,1.0,1.0
369,seruh,2.0,1.0
370,terlukis,3.0,1.0
371,prosa,2.0,1.0
372,ketertarikan,4.0,1.0
373,cerita anak,2.0,2.0
374,bau tanah,1.0,2.0
375,atensi,2.0,1.0
376,tergambar,2.0,1.0
377,anekdot,2.0,1.0
378,mengamuk,1.0,1.0
379,shalat,4.0,1.0
380,lanjut,2.0,1.0
381,seneng,5.0,1.0
382,omong kosong,1.0,2.0
383,bombastis,2.0,1.0
384,fiksi,2.0,1.0
385,dzuhur,1.0,1.0
386,tips,4.0,1.0
387,kelonggaran,3.0,1.0
388,tq,4.0,1.0
389,respon,2.0,1.0
390,sirna,1.0,1.0
391,kelawasan,1.0,1.0
392,singgung,1.0,1.0
393,only,1.0,1.0
394,layanan,3.0,1.0
395,keluasan,3.0,1.0
396,langganan,4.0,1.0
397,resap,3.0,1.0
398,menyingsing,3.0,1.0
399,lelap,4.0,1.0
400,tembus,3.0,1.0
401,keringanan,2.0,1.0
402,beterbangan,2.0,1.0
403,lipur,2.0,1.0
404,sajak,2.0,1.0
405,mempertentangkan,1.0,1.0
406,peria,2.0,1.0
407,respons,3.0,1.0
408,jawaban,3.0,1.0
409,reaksi,2.0,1.0
410,kangen,3.0,1.0
411,tlg,3.0,1.0
412,sahutan,1.0,1.0
413,cepet,2.0,1.0
414,doang,1.0,1.0
415,lantik,3.0,1.0
416,akibat,1.0,1.0
417,sambutan,3.0,1.0
418,bersalin,3.0,1.0
419,wahyu,4.0,1.0
420,maha,4.0,1.0
421,terlindung,4.0,1.0
422,menetap,3.0,1.0
423,bersikukuh,1.0,1.0
424,rusuhan,1.0,1.0
425,meyakinkan,3.0,1.0
426,berkukuh,2.0,1.0
427,silang selisih,1.0,2.0
428,bersiteguh,1.0,1.0
429,syg,3.0,1.0
430,hii,3.0,1.0
431,pencegah,2.0,1.0
432,dependen,3.0,1.0
433,berteguh hati,4.0,2.0
434,berkuat,3.0,1.0
435,amin,3.0,1.0
436,tersampai,2.0,1.0
437,bersyukur,5.0,1.0
438,bergeming,1.0,1.0
439,nunggu,1.0,1.0
440,abis,1.0,1.0
441,bertekun,4.0,1.0
442,selamat,5.0,1.0
443,asmara,2.0,1.0
444,bertahan,4.0,1.0
445,suka-suka,3.0,1.0
446,gapaian,3.0,1.0
447,penguasaan,3.0,1.0
448,iritasi,1.0,1.0
449,mukhlis,3.0,1.0
450,senyap,1.0,1.0
451,terpukul,1.0,1.0
452,elite,5.0,1.0
453,asketisme,2.0,1.0
454,cita rasa,3.0,2.0
455,mampir,2.0,1.0
456,pasif,1.0,1.0
457,interferensi,2.0,1.0
458,membatu,2.0,1.0
459,lurus hati,3.0,2.0
460,geming,2.0,1.0
461,stagnan,1.0,1.0
462,membisu,1.0,1.0
463,cengkeraman,1.0,1.0
464,bungkam,1.0,1.0
465,raihan,2.0,1.0
466,asik,4.0,1.0
467,ready,1.0,1.0
468,sepantar,1.0,1.0
469,usikan,1.0,1.0
470,pantau,2.0,1.0
471,tunduk,1.0,1.0
472,karena Allah,2.0,2.0
473,fans,2.0,1.0
474,provokasi,1.0,1.0
475,terbaring,2.0,1.0
476,zuhud,2.0,1.0
477,sporadis,2.0,1.0
478,tertulang,2.0,1.0
479,capaian,4.0,1.0
480,rengkuhan,1.0,1.0
481,sukarela,4.0,1.0
482,sarannya,1.0,1.0
483,pesan,2.0,1.0
484,mencintaimu,4.0,1.0
485,menutup mulut,1.0,2.0
486,tidur,3.0,1.0
487,beribadat,4.0,1.0
488,yoga,1.0,1.0
489,sayid,3.0,1.0
490,dapet,2.0,1.0
491,mendoa,4.0,1.0
492,berharap,4.0,1.0
493,harap,3.0,1.0
494,berdoa,4.0,1.0
495,bersembahyang,5.0,1.0
496,berselawat,3.0,1.0
497,yes,3.0,1.0
498,berpasrah,3.0,1.0
499,buruan,1.0,1.0
500,semi,2.0,1.0
501,memanjatkan doa,4.0,2.0
502,top,5.0,1.0
503,mood,2.0,1.0
504,berzikir,4.0,1.0
505,kenal,3.0,1.0
506,kebahagiaan,4.0,1.0
507,dengerin,3.0,1.0
508,bertanding,2.0,1.0
509,berusaha,3.0,1.0
510,jempolan,4.0,1.0
511,yahud,4.0,1.0
512,berjihad,3.0,1.0
513,juang,3.0,1.0
514,bersangkut,1.0,1.0
515,mencolok,2.0,1.0
516,pasar uang,2.0,2.0
517,memikat,2.0,1.0
518,taut,2.0,1.0
519,bayar,1.0,1.0
520,menarik,4.0,1.0
521,hebring,3.0,1.0
522,seru,5.0,1.0
523,pukul,1.0,1.0
524,simak,3.0,1.0
525,memuaskan,5.0,1.0
526,aduhai,4.0,1.0
527,bergelanggang,2.0,1.0
528,hatiku,2.0,1.0
529,love,5.0,1.0
530,yuuk,4.0,1.0
531,pelipuran,2.0,1.0
532,profitabel,4.0,1.0
533,tebal telinga,1.0,2.0
534,senyumin,3.0,1.0
535,cuek,1.0,1.0
536,berlaba,4.0,1.0
537,peduli,4.0,1.0
538,insyaallah,2.0,1.0
539,berkhasiat,4.0,1.0
540,diem,2.0,1.0
541,menguntungkan,4.0,1.0
542,mulu,2.0,1.0
543,motivasi,3.0,1.0
544,berkat,1.0,1.0
545,apatis,1.0,1.0
546,berhikmah,2.0,1.0
547,berfaedah,4.0,1.0
548,purnama,2.0,1.0
549,mengagumkan,4.0,1.0
550,siph,2.0,1.0
551,inklusif,1.0,1.0
552,beneran,3.0,1.0
553,wewenang,2.0,1.0
554,mojang,2.0,1.0
555,lunch,3.0,1.0
556,aziz,2.0,1.0
557,fav,5.0,1.0
558,okay,4.0,1.0
559,melancarkan,3.0,1.0
560,nemenin,2.0,1.0
561,cicip,3.0,1.0
562,bunda,3.0,1.0
563,laun,1.0,1.0
564,waras,2.0,1.0
565,pinter,5.0,1.0
566,melorot,1.0,1.0
567,bilas,1.0,1.0
568,terjeblos,1.0,1.0
569,terjun,1.0,1.0
570,menggelincir,1.0,1.0
571,lunas,2.0,1.0
572,rebah,2.0,1.0
573,reparasi,3.0,1.0
574,gontai,1.0,1.0
575,sederhana,3.0,1.0
576,tumpuan,2.0,1.0
577,himpit,1.0,1.0
578,turunan,1.0,1.0
579,mudah,4.0,1.0
580,tumbang,1.0,1.0
581,live,3.0,1.0
582,memandu,3.0,1.0
583,gamblang,3.0,1.0
584,terjungkal,1.0,1.0
585,ngasih,3.0,1.0
586,penyempurnaan,3.0,1.0
587,asasi,3.0,1.0
588,gurufavorit,3.0,1.0
589,friends,3.0,1.0
590,tercemplung,1.0,1.0
591,rektifikasi,1.0,1.0
592,meringankan,2.0,1.0
593,mamak,2.0,1.0
594,lambat,1.0,1.0
595,memudahkan,3.0,1.0
596,terbanting,1.0,1.0
597,pencitraan,2.0,1.0
598,berikhtiar,3.0,1.0
599,belanja,2.0,1.0
600,andai,2.0,1.0
601,lingsir,2.0,1.0
602,murah,3.0,1.0
603,assalamualaikum,3.0,1.0
604,ibunda,3.0,1.0
605,luruh,2.0,1.0
606,fondasi,2.0,1.0
607,arabika,2.0,1.0
608,membayangkan,2.0,1.0
609,rekonsiliasi,4.0,1.0
610,copot,1.0,1.0
611,simbok,2.0,1.0
612,saldo,2.0,1.0
613,berjatuhan,1.0,1.0
614,tergelincir,1.0,1.0
615,memuluskan,3.0,1.0
616,rontok,1.0,1.0
617,islam,4.0,1.0
618,mama,4.0,1.0
619,filial,2.0,1.0
620,ujian,1.0,1.0
621,puterin,1.0,1.0
622,mengantongi,1.0,1.0
623,gugur,1.0,1.0
624,berbuah,2.0,1.0
625,bersila,2.0,1.0
626,inovasi,4.0,1.0
627,berumah tangga,2.0,2.0
628,berbakat,4.0,1.0
629,ngerti,1.0,1.0
630,menumpang tinggal,1.0,2.0
631,menggelesot,1.0,1.0
632,kuliah,1.0,1.0
633,berbunga,3.0,1.0
634,filsafat,3.0,1.0
635,berketurunan,2.0,1.0
636,tinggal,1.0,1.0
637,wafat,1.0,1.0
638,bertunangan,3.0,1.0
639,kepo,2.0,1.0
640,menongkrong,1.0,1.0
641,dimulai,1.0,1.0
642,tabungan,3.0,1.0
643,kuat,2.0,1.0
644,deposito,3.0,1.0
645,hy,1.0,1.0
646,mewarisi,3.0,1.0
647,komedi,3.0,1.0
648,fokus,3.0,1.0
649,bebodoran,2.0,1.0
650,lahir,3.0,1.0
651,deket,1.0,1.0
652,dewasa,2.0,1.0
653,menikah,4.0,1.0
654,tekad,4.0,1.0
655,bermukim,2.0,1.0
656,berpembawaan,1.0,1.0
657,pertukaran,1.0,1.0
658,dagelan,3.0,1.0
659,kasad,1.0,1.0
660,kelucuan,3.0,1.0
661,keduniaan,1.0,1.0
662,tawakal,3.0,1.0
663,cash,2.0,1.0
664,mengesahkan,2.0,1.0
665,pamrih,1.0,1.0
666,join,1.0,1.0
667,pancaroba,1.0,1.0
668,kunjungi,3.0,1.0
669,berdaya guna,4.0,2.0
670,modifikasi,2.0,1.0
671,mengirat,2.0,1.0
672,searah,1.0,1.0
673,khusyuk,3.0,1.0
674,adi,2.0,1.0
675,sob,2.0,1.0
676,beroperasi,1.0,1.0
677,didik,3.0,1.0
678,vote,1.0,1.0
679,iflix,1.0,1.0
680,gratifikasi,2.0,1.0
681,pamit,2.0,1.0
682,ekstra,3.0,1.0
683,bermohon,3.0,1.0
684,berdua,1.0,1.0
685,angguk,1.0,1.0
686,bepergian,1.0,1.0
687,joli,1.0,1.0
688,jodoh,3.0,1.0
689,terkoneksi,3.0,1.0
690,herbal,2.0,1.0
691,sesuai,3.0,1.0
692,sekata,3.0,1.0
693,laporkan,2.0,1.0
694,penghidupan,2.0,1.0
695,utopia,2.0,1.0
696,berkenan,2.0,1.0
697,rahim,2.0,1.0
698,lewat,2.0,1.0
699,geleser,1.0,1.0
700,special,4.0,1.0
701,obsesi,1.0,1.0
702,sepakat,4.0,1.0
703,bermohon diri,2.0,2.0
704,insentif,3.0,1.0
705,nafkah,3.0,1.0
706,setuju,4.0,1.0
707,curhat,2.0,1.0
708,berproses,1.0,1.0
709,varian,1.0,1.0
710,oke,2.0,1.0
711,kesabaran,5.0,1.0
712,mufakat,4.0,1.0
713,rawat,3.0,1.0
714,mikir,2.0,1.0
715,karunia,4.0,1.0
716,beredar,2.0,1.0
717,rangkap,2.0,1.0
718,tengah,2.0,1.0
719,komisi,3.0,1.0
720,check,1.0,1.0
721,nasi,2.0,1.0
722,serasi,4.0,1.0
723,maklumat,2.0,1.0
724,darurat,1.0,1.0
725,disarankan,1.0,1.0
726,inisiator,3.0,1.0
727,substansial,1.0,1.0
728,luntur,1.0,1.0
729,trima,1.0,1.0
730,berbagi,2.0,1.0
731,kabar,2.0,1.0
732,tiara,3.0,1.0
733,lancar,4.0,1.0
734,lanjutkan,1.0,1.0
735,baik-baik,3.0,1.0
736,pelancar,2.0,1.0
737,say,1.0,1.0
738,ajak,1.0,1.0
739,meminta,1.0,1.0
740,publikasi,2.0,1.0
741,benar-benar,2.0,1.0
742,rasio,1.0,1.0
743,baper,1.0,1.0
744,intensif,2.0,1.0
745,menyembul,1.0,1.0
746,hadir,2.0,1.0
747,muncul,1.0,1.0
748,menukar,1.0,1.0
749,ayunan,3.0,1.0
750,berhati-hati,3.0,1.0
751,kembang-kempis,3.0,1.0
752,hastag,1.0,1.0
753,diskaun,3.0,1.0
754,jumat,2.0,1.0
755,babe,3.0,1.0
756,merapal,1.0,1.0
757,bergetar,1.0,1.0
758,mengerubungi,1.0,1.0
759,bernyanyi,2.0,1.0
760,terperengah,1.0,1.0
761,irit,2.0,1.0
762,bergema,1.0,1.0
763,setir,1.0,1.0
764,penggunaan,1.0,1.0
765,selidik,2.0,1.0
766,penimbunan,1.0,1.0
767,muslim,3.0,1.0
768,merinai,1.0,1.0
769,memindahkan,1.0,1.0
770,swagriya,2.0,1.0
771,memperhitungkan,1.0,1.0
772,lelang,1.0,1.0
773,cuat,2.0,1.0
774,kenangan,3.0,1.0
775,kehebohan,1.0,1.0
776,maksimal,3.0,1.0
777,dipantau,2.0,1.0
778,smartphone,1.0,1.0
779,penabung,3.0,1.0
780,sharing,3.0,1.0
781,tampak,1.0,1.0
782,ngerasain,1.0,1.0
783,jagalah,3.0,1.0
784,penumpukan,1.0,1.0
785,lovers,4.0,1.0
786,gelegak,1.0,1.0
787,nyanyi,3.0,1.0
788,bahas,2.0,1.0
789,pengembangannya,3.0,1.0
790,tertinggi,3.0,1.0
791,lenggang,2.0,1.0
792,monggo,3.0,1.0
793,mengeroyok,1.0,1.0
794,ayun,1.0,1.0
795,aba,2.0,1.0
796,abi,2.0,1.0
797,queen,2.0,1.0
798,ekonomis,3.0,1.0
799,mengangsur,1.0,1.0
800,sebenernya,1.0,1.0
801,refresh,2.0,1.0
802,orang islam,2.0,2.0
803,nice,4.0,1.0
804,ayahanda,1.0,1.0
805,membahas,1.0,1.0
806,menorehkan,1.0,1.0
807,penambahan,2.0,1.0
808,kaitan,1.0,1.0
809,menyembur,1.0,1.0
810,gesek,1.0,1.0
811,geser,1.0,1.0
812,tetap hati,3.0,2.0
813,tercinta,4.0,1.0
814,signifikansi,2.0,1.0
815,sidang,1.0,1.0
816,penggentaran,1.0,1.0
817,definit,2.0,1.0
818,jali,2.0,1.0
819,kekerabatan,3.0,1.0
820,afiliasi,2.0,1.0
821,konkret,3.0,1.0
822,chat,3.0,1.0
823,alim,2.0,1.0
824,fanbase,3.0,1.0
825,reseptor,2.0,1.0
826,maujud,2.0,1.0
827,merah jambu,3.0,2.0
828,komunitas,2.0,1.0
829,eviden,3.0,1.0
830,genah,2.0,1.0
831,sensibel,2.0,1.0
832,coffee,2.0,1.0
833,bernyali besar,3.0,2.0
834,goda,2.0,1.0
835,sparing,3.0,1.0
836,jaringan,3.0,1.0
837,real,2.0,1.0
838,sentuh,1.0,1.0
839,belajar,3.0,1.0
840,informasinya,2.0,1.0
841,mengaibkan,1.0,1.0
842,membiasakan,2.0,1.0
843,konfirmasinya,3.0,1.0
844,kesimpulan,3.0,1.0
845,berwujud,2.0,1.0
846,pantas mulut,2.0,2.0
847,rizki,4.0,1.0
848,latih,3.0,1.0
849,sweet,3.0,1.0
850,bernyali,4.0,1.0
851,kentara,1.0,1.0
852,banget,1.0,1.0
853,percaya diri,4.0,2.0
854,adzan,3.0,1.0
855,transparansi,2.0,1.0
856,salamat,4.0,1.0
857,dear,2.0,1.0
858,persangkutan,2.0,1.0
859,candang,2.0,1.0
860,anut,2.0,1.0
861,jalanin,2.0,1.0
862,pandai bicara,3.0,2.0
863,pancur,1.0,1.0
864,interaksi,3.0,1.0
865,alim arif,4.0,2.0
866,cakep,5.0,1.0
867,single,3.0,1.0
868,penerima,2.0,1.0
869,langgam,2.0,1.0
870,merah muda,3.0,2.0
871,nyali besar,3.0,2.0
872,nekat,2.0,1.0
873,kesatria,2.0,1.0
874,sungguh-sungguh,2.0,1.0
875,konfirmasikan,3.0,1.0
876,bentur,1.0,1.0
877,determinasi,3.0,1.0
878,medium,2.0,1.0
879,tampilan,1.0,1.0
880,baku,1.0,1.0
881,kubra,2.0,1.0
882,satria,4.0,1.0
883,jentelmen,3.0,1.0
884,relevansi,2.0,1.0
885,penyambut,2.0,1.0
886,faktual,3.0,1.0
887,krim,1.0,1.0
888,melakoni,1.0,1.0
889,jamiah,1.0,1.0
890,esok,1.0,1.0
891,dikasih,2.0,1.0
892,penunggu dunia,2.0,2.0
893,ijab,2.0,1.0
894,menayangkan,2.0,1.0
895,snapback,2.0,1.0
896,pinky,3.0,1.0
897,sejenak,1.0,1.0
898,favorite,4.0,1.0
899,sigap,4.0,1.0
900,membimbingmu,3.0,1.0
901,couple,2.0,1.0
902,syarikat,3.0,1.0
903,penyesuaian,3.0,1.0
904,menghadiahkan,3.0,1.0
905,ikat janji,3.0,2.0
906,dapatkan,2.0,1.0
907,secepatnya,3.0,1.0
908,drum,2.0,1.0
909,tengkurap,2.0,1.0
910,terluang,2.0,1.0
911,nada,2.0,1.0
912,yukk,4.0,1.0
913,berlebih,1.0,1.0
914,tempo,1.0,1.0
915,hostel,1.0,1.0
916,menganugerahi,3.0,1.0
917,rembuk,3.0,1.0
918,pesanggrahan,2.0,1.0
919,pemikiran,1.0,1.0
920,bahasan,1.0,1.0
921,pose,3.0,1.0
922,bertaraf,3.0,1.0
923,penangguhan,3.0,1.0
924,mobil,1.0,1.0
925,care,2.0,1.0
926,baju,2.0,1.0
927,biarkan,1.0,1.0
928,bertekan,1.0,1.0
929,adaptasi,2.0,1.0
930,melayani,3.0,1.0
931,help,2.0,1.0
932,konferensi,2.0,1.0
933,gerak gerik,1.0,2.0
934,menyikap,1.0,1.0
935,pingin,2.0,1.0
936,lompong,1.0,1.0
937,azimat,1.0,1.0
938,penyelarasan,3.0,1.0
939,hamba Allah,3.0,2.0
940,bersemangat,4.0,1.0
941,habituasi,1.0,1.0
942,layan,2.0,1.0
943,ciyeee,1.0,1.0
944,senyumnya,3.0,1.0
945,maen,3.0,1.0
