date,hour,temperature,cuaca,humidity,wind_speed,location
2025-05-06,7,28.5,Clear,60,9.6,Surabaya
2025-05-06,8,21.1,Cloudy,74,14.2,Bandung
2025-05-06,9,34.9,Cloudy,73,11.2,Medan
2025-05-06,10,25.3,Cloudy,47,4.9,Jakarta
2025-05-06,11,34.6,Rain,58,3.4,Bandung
2025-05-06,12,28.4,Clear,54,11.5,Bandung
2025-05-06,13,34.5,Rain,49,12.5,Bandung
2025-05-06,14,30.4,Rain,81,6.8,Bandung
2025-05-06,15,31.7,Rain,81,7.2,Yogyakarta
2025-05-06,16,34.2,Cloudy,80,6.4,Surabaya
2025-05-06,17,25.0,Clear,87,5.3,Medan
2025-05-06,18,31.6,Rain,43,8.3,Medan
2025-05-06,19,29.5,Clear,72,10.8,Bandung
2025-05-06,20,24.8,Rain,54,12.4,Jakarta
2025-05-06,21,26.3,Cloudy,63,4.5,Medan
2025-05-06,22,25.5,Cloudy,64,6.7,Jakarta
2025-05-06,23,32.0,Clear,45,5.0,Bandung
2025-05-07,1,34.2,Clear,79,1.1,Yogyakarta
2025-05-07,2,22.8,Cloudy,78,13.1,Jakarta
2025-05-07,3,33.8,Rain,75,8.2,Bandung
2025-05-07,4,21.4,Clear,46,10.3,Surabaya
2025-05-07,5,24.3,Rain,47,8.5,Medan
2025-05-07,6,27.4,Cloudy,66,7.8,Surabaya
2025-05-07,7,32.1,Clear,50,7.4,Yogyakarta
2025-05-07,8,22.0,Rain,44,6.4,Surabaya
2025-05-07,9,22.4,Clear,50,4.1,Surabaya
2025-05-07,10,23.4,Rain,88,5.0,Medan
2025-05-07,11,34.4,Cloudy,62,4.3,Jakarta
2025-05-07,12,29.1,Rain,40,11.7,Bandung
2025-05-07,13,27.5,Cloudy,90,7.6,Jakarta
2025-05-07,14,29.0,Clear,82,1.1,Bandung
2025-05-07,15,33.7,Clear,47,10.9,Jakarta
2025-05-07,16,33.1,Cloudy,80,9.6,Surabaya
2025-05-07,17,24.6,Rain,45,14.5,Bandung
2025-05-07,18,23.3,Clear,70,3.0,Surabaya
2025-05-07,19,23.2,Clear,58,14.7,Jakarta
2025-05-07,20,27.9,Clear,65,12.4,Medan
2025-05-07,21,33.8,Rain,73,9.0,Surabaya
2025-05-07,22,34.5,Rain,64,10.5,Surabaya
2025-05-07,23,27.4,Rain,45,14.6,Yogyakarta
2025-05-08,1,30.7,Rain,42,11.2,Bandung
2025-05-08,2,31.1,Rain,62,12.4,Yogyakarta
2025-05-08,3,22.5,Cloudy,82,10.1,Bandung
2025-05-08,4,26.5,Clear,87,4.4,Yogyakarta
2025-05-08,5,24.4,Clear,44,11.2,Yogyakarta
2025-05-08,6,20.1,Cloudy,89,5.1,Jakarta
2025-05-08,7,29.1,Cloudy,42,7.2,Surabaya
2025-05-08,8,32.3,Clear,61,9.8,Yogyakarta
2025-05-08,9,22.9,Clear,70,3.8,Medan
2025-05-08,10,31.1,Clear,59,7.9,Yogyakarta
2025-05-08,11,23.2,Clear,53,12.1,Medan
2025-05-08,12,29.5,Cloudy,75,9.0,Jakarta
2025-05-08,13,32.4,Cloudy,47,7.9,Medan
2025-05-08,14,20.6,Rain,85,9.8,Jakarta
2025-05-08,15,23.9,Clear,65,12.0,Jakarta
2025-05-08,16,28.0,Rain,90,2.8,Yogyakarta
2025-05-08,17,25.0,Clear,47,11.3,Bandung
2025-05-08,18,31.6,Cloudy,76,5.4,Yogyakarta
2025-05-08,19,23.2,Rain,51,5.1,Medan
2025-05-08,20,21.0,Cloudy,54,13.7,Bandung
2025-05-08,21,32.6,Rain,44,8.2,Yogyakarta
2025-05-08,22,29.8,Rain,67,8.7,Jakarta
2025-05-08,23,21.5,Clear,65,14.9,Surabaya
2025-05-09,1,20.2,Clear,51,3.1,Medan
2025-05-09,2,27.9,Clear,42,4.9,Jakarta
2025-05-09,3,25.8,Rain,81,0.5,Bandung
2025-05-09,4,26.7,Cloudy,85,5.8,Yogyakarta
2025-05-09,5,27.4,Clear,66,5.2,Bandung
2025-05-09,6,20.0,Cloudy,43,4.0,Medan
2025-05-09,7,33.8,Cloudy,84,6.9,Jakarta
2025-05-09,8,32.4,Clear,59,6.4,Bandung
2025-05-09,9,24.0,Rain,64,11.6,Yogyakarta
2025-05-09,10,28.8,Rain,40,10.6,Surabaya
2025-05-09,11,26.5,Clear,48,0.7,Yogyakarta
2025-05-09,12,20.8,Cloudy,75,1.5,Yogyakarta
2025-05-09,13,23.2,Rain,90,5.2,Surabaya
2025-05-09,14,22.7,Cloudy,87,12.6,Yogyakarta
2025-05-09,15,21.8,Rain,81,14.6,Medan
2025-05-09,16,23.3,Cloudy,64,13.7,Medan
2025-05-09,17,26.7,Clear,61,7.5,Medan
2025-05-09,18,34.1,Cloudy,49,1.1,Medan
2025-05-09,19,33.8,Clear,74,10.4,Bandung
2025-05-09,20,30.4,Cloudy,72,9.0,Surabaya
2025-05-09,21,30.9,Cloudy,68,6.6,Medan
2025-05-09,22,27.7,Clear,80,12.5,Medan
2025-05-09,23,20.2,Cloudy,51,7.0,Jakarta
2025-05-10,1,31.4,Cloudy,51,6.5,Surabaya
2025-05-10,2,29.4,Clear,75,10.9,Bandung
2025-05-10,3,23.6,Cloudy,65,13.4,Surabaya
2025-05-10,4,20.5,Cloudy,77,10.3,Surabaya
2025-05-10,5,30.2,Clear,43,13.8,Jakarta
2025-05-10,6,34.4,Rain,57,8.4,Jakarta
2025-05-10,7,26.1,Rain,56,11.3,Yogyakarta
2025-05-10,8,21.5,Rain,40,2.1,Yogyakarta
2025-05-10,9,21.2,Rain,79,13.2,Bandung
2025-05-10,10,21.9,Rain,68,12.6,Surabaya
2025-05-10,11,31.4,Cloudy,62,4.6,Medan
2025-05-10,12,34.8,Cloudy,83,12.3,Bandung
2025-05-10,13,20.7,Rain,85,11.0,Surabaya
2025-05-10,14,28.1,Clear,54,6.9,Surabaya
2025-05-10,15,33.3,Cloudy,87,13.2,Yogyakarta
2025-05-10,16,25.5,Clear,47,12.5,Jakarta
2025-05-10,17,33.0,Cloudy,70,11.2,Jakarta
2025-05-10,18,31.8,Clear,68,5.7,Jakarta
2025-05-10,19,34.1,Clear,86,9.0,Jakarta
2025-05-10,20,32.8,Cloudy,57,9.3,Medan
2025-05-10,21,32.1,Rain,43,0.5,Bandung
2025-05-10,22,21.9,Clear,68,5.2,Bandung
2025-05-10,23,29.7,Clear,55,6.2,Bandung
2025-05-11,1,26.0,Rain,89,3.8,Surabaya
2025-05-11,2,31.0,Clear,74,14.3,Jakarta
2025-05-11,3,21.1,Rain,42,5.3,Bandung
2025-05-11,4,24.3,Rain,65,8.4,Medan
2025-05-11,5,21.8,Clear,64,13.7,Bandung
2025-05-11,6,34.3,Cloudy,69,14.3,Bandung
2025-05-11,7,25.5,Rain,71,11.4,Surabaya
2025-05-11,8,24.5,Cloudy,79,13.4,Bandung
2025-05-11,9,26.2,Rain,59,6.2,Jakarta
2025-05-11,10,34.0,Rain,78,7.2,Jakarta
2025-05-11,11,32.4,Cloudy,76,12.3,Medan
2025-05-11,12,21.9,Rain,58,1.2,Medan
2025-05-11,13,26.7,Clear,43,6.0,Surabaya
2025-05-11,14,23.8,Rain,61,8.5,Medan
2025-05-11,15,26.7,Cloudy,87,1.8,Yogyakarta
2025-05-11,16,25.5,Cloudy,80,6.7,Surabaya
2025-05-11,17,34.2,Cloudy,84,4.1,Surabaya
2025-05-11,18,20.8,Clear,66,11.8,Medan
2025-05-11,19,33.0,Cloudy,60,7.3,Bandung
2025-05-11,20,27.4,Rain,66,8.5,Medan
2025-05-11,21,26.9,Rain,88,9.2,Yogyakarta
2025-05-11,22,21.7,Cloudy,73,14.4,Yogyakarta
2025-05-11,23,27.0,Cloudy,54,6.1,Surabaya
2025-05-12,1,26.1,Cloudy,56,13.7,Surabaya
2025-05-12,2,31.8,Rain,67,2.3,Surabaya
2025-05-12,3,21.2,Cloudy,80,2.3,Medan
2025-05-12,4,21.1,Rain,69,5.2,Medan
2025-05-12,5,32.6,Clear,79,8.0,Bandung
2025-05-12,6,34.5,Cloudy,58,6.4,Yogyakarta
2025-05-12,7,22.1,Clear,45,5.0,Jakarta
2025-05-12,8,25.7,Cloudy,55,7.9,Surabaya
2025-05-12,9,25.9,Rain,77,2.6,Bandung
2025-05-12,10,34.8,Rain,47,5.8,Yogyakarta
2025-05-12,11,33.5,Clear,47,4.7,Surabaya
2025-05-12,12,22.2,Cloudy,75,3.4,Bandung
2025-05-12,13,31.9,Rain,73,4.4,Surabaya
2025-05-12,14,23.2,Cloudy,52,7.7,Bandung
2025-05-12,15,27.7,Clear,80,2.5,Bandung
2025-05-12,16,21.6,Cloudy,58,3.8,Medan
2025-05-12,17,24.8,Cloudy,46,13.3,Surabaya
2025-05-12,18,26.4,Clear,80,13.8,Medan
2025-05-12,19,28.4,Cloudy,62,5.0,Surabaya
2025-05-12,20,28.4,Clear,67,4.1,Bandung
2025-05-12,21,25.6,Clear,61,1.3,Jakarta
2025-05-12,22,33.9,Rain,69,5.2,Medan
2025-05-12,23,27.5,Rain,41,2.7,Jakarta
2025-05-13,1,25.0,Cloudy,90,14.8,Surabaya
2025-05-13,2,22.1,Cloudy,67,9.6,Yogyakarta
2025-05-13,3,22.6,Cloudy,60,10.3,Jakarta
2025-05-13,4,20.1,Clear,58,12.3,Yogyakarta
2025-05-13,5,27.0,Cloudy,54,10.3,Medan
2025-05-13,6,25.0,Cloudy,64,12.5,Medan
2025-05-13,7,31.5,Cloudy,78,14.7,Bandung
2025-05-13,8,33.5,Clear,83,9.7,Yogyakarta
2025-05-13,9,29.2,Rain,61,10.7,Surabaya
2025-05-13,10,25.8,Rain,67,11.1,Surabaya
2025-05-13,11,34.4,Clear,42,12.3,Jakarta
2025-05-13,12,23.2,Rain,80,1.7,Medan
2025-05-13,13,23.1,Cloudy,72,9.9,Surabaya
2025-05-13,14,30.2,Cloudy,86,13.4,Yogyakarta
2025-05-13,15,26.7,Clear,41,6.1,Surabaya
2025-05-13,16,29.6,Rain,82,11.2,Bandung
2025-05-13,17,34.5,Cloudy,75,13.1,Surabaya
2025-05-13,18,34.4,Clear,60,7.7,Medan
2025-05-13,19,20.1,Clear,56,14.4,Yogyakarta
2025-05-13,20,21.8,Clear,40,6.4,Jakarta
2025-05-13,21,23.1,Rain,72,12.9,Yogyakarta
2025-05-13,22,23.3,Cloudy,57,1.0,Yogyakarta
2025-05-13,23,29.5,Rain,61,10.4,Yogyakarta
2025-05-14,1,28.7,Clear,64,11.1,Jakarta
2025-05-14,2,20.4,Clear,44,5.8,Bandung
2025-05-14,3,33.7,Clear,73,6.1,Surabaya
2025-05-14,4,31.0,Rain,88,7.8,Yogyakarta
2025-05-14,5,25.9,Rain,80,4.8,Medan
2025-05-14,6,32.8,Cloudy,57,0.1,Jakarta
2025-05-14,7,24.0,Clear,74,2.1,Jakarta
2025-05-14,8,29.2,Clear,81,2.4,Surabaya
2025-05-14,9,31.9,Clear,90,4.4,Surabaya
2025-05-14,10,21.8,Rain,85,12.7,Bandung
2025-05-14,11,29.7,Cloudy,71,7.0,Bandung
2025-05-14,12,29.2,Rain,85,3.5,Yogyakarta
2025-05-14,13,21.1,Rain,46,5.6,Bandung
2025-05-14,14,33.0,Clear,89,9.9,Surabaya
2025-05-14,15,26.0,Clear,43,5.9,Jakarta
2025-05-14,16,25.9,Clear,61,1.8,Surabaya
2025-05-14,17,31.3,Cloudy,77,0.8,Medan
2025-05-14,18,34.4,Rain,90,10.3,Bandung
2025-05-14,19,25.8,Rain,87,12.2,Surabaya
2025-05-14,20,29.1,Rain,74,6.4,Jakarta
2025-05-14,21,25.6,Rain,71,5.9,Yogyakarta
2025-05-14,22,33.6,Cloudy,61,14.9,Yogyakarta
2025-05-14,23,24.2,Cloudy,78,9.0,Medan
2025-05-15,1,29.5,Cloudy,41,11.8,Jakarta
2025-05-15,2,29.6,Rain,79,1.8,Jakarta
2025-05-15,3,30.0,Cloudy,65,14.8,Surabaya
2025-05-15,4,33.1,Rain,81,6.3,Yogyakarta
2025-05-15,5,27.6,Rain,50,10.0,Medan
2025-05-15,6,29.6,Cloudy,47,9.4,Bandung
2025-05-15,7,31.3,Rain,72,13.9,Bandung
2025-05-15,8,23.8,Rain,90,3.5,Surabaya
2025-05-15,9,32.4,Rain,72,12.7,Medan
2025-05-15,10,25.6,Rain,58,6.7,Medan
2025-05-15,11,28.0,Rain,85,1.9,Yogyakarta
2025-05-15,12,32.3,Clear,69,4.7,Medan
2025-05-15,13,30.0,Clear,51,7.8,Medan
2025-05-15,14,28.2,Rain,45,4.9,Medan
2025-05-15,15,31.7,Rain,65,13.5,Surabaya
2025-05-15,16,27.4,Clear,76,3.0,Medan
2025-05-15,17,29.9,Clear,75,11.5,Bandung
2025-05-15,18,32.0,Cloudy,71,13.3,Yogyakarta
2025-05-15,19,25.7,Clear,42,3.5,Yogyakarta
2025-05-15,20,26.0,Rain,60,12.7,Bandung
2025-05-15,21,28.0,Cloudy,59,12.4,Yogyakarta
2025-05-15,22,20.2,Rain,69,0.3,Jakarta
2025-05-15,23,28.3,Cloudy,48,10.2,Medan
2025-05-16,1,24.1,Clear,87,11.3,Yogyakarta
2025-05-16,2,24.4,Clear,42,13.0,Yogyakarta
2025-05-16,3,29.9,Clear,64,13.2,Surabaya
2025-05-16,4,28.1,Clear,82,8.9,Jakarta
2025-05-16,5,25.7,Clear,62,11.9,Surabaya
2025-05-16,6,27.2,Clear,59,12.4,Jakarta
2025-05-16,7,24.1,Rain,76,13.7,Medan
2025-05-16,8,29.1,Clear,47,2.2,Yogyakarta
2025-05-16,9,28.9,Clear,85,7.1,Surabaya
2025-05-16,10,29.9,Rain,56,10.0,Jakarta
2025-05-16,11,32.0,Cloudy,85,11.1,Surabaya
2025-05-16,12,24.8,Cloudy,60,11.8,Bandung
2025-05-16,13,33.7,Clear,60,6.7,Yogyakarta
2025-05-16,14,21.4,Rain,50,2.4,Bandung
2025-05-16,15,27.1,Cloudy,64,6.6,Bandung
2025-05-16,16,23.5,Rain,85,10.9,Surabaya
2025-05-16,17,25.2,Clear,61,13.2,Surabaya
2025-05-16,18,30.3,Rain,84,9.6,Bandung
2025-05-16,19,33.6,Clear,63,12.1,Surabaya
2025-05-16,20,33.0,Rain,76,14.0,Bandung
2025-05-16,21,28.6,Rain,70,3.4,Jakarta
2025-05-16,22,25.7,Clear,86,6.1,Bandung
2025-05-16,23,23.6,Cloudy,55,13.4,Yogyakarta
2025-05-17,1,24.8,Rain,40,7.1,Medan
2025-05-17,2,21.4,Cloudy,46,11.8,Bandung
2025-05-17,3,32.4,Cloudy,74,9.8,Bandung
2025-05-17,4,30.0,Rain,89,0.7,Medan
2025-05-17,5,30.0,Clear,45,11.9,Jakarta
2025-05-17,6,26.7,Clear,89,6.7,Jakarta
2025-05-17,7,33.5,Clear,68,0.4,Yogyakarta
2025-05-17,8,26.5,Clear,71,7.4,Yogyakarta
2025-05-17,9,25.1,Clear,63,4.0,Surabaya
2025-05-17,10,29.4,Cloudy,85,14.4,Surabaya
2025-05-17,11,30.0,Rain,44,2.3,Medan
2025-05-17,12,34.4,Rain,49,11.4,Medan
2025-05-17,13,33.4,Clear,52,10.9,Yogyakarta
2025-05-17,14,30.3,Rain,50,2.8,Yogyakarta
2025-05-17,15,26.6,Rain,66,14.5,Yogyakarta
2025-05-17,16,23.9,Cloudy,42,11.2,Yogyakarta
2025-05-17,17,26.4,Clear,81,1.2,Medan
2025-05-17,18,30.2,Rain,57,5.0,Bandung
2025-05-17,19,30.7,Cloudy,50,14.7,Jakarta
2025-05-17,20,25.0,Clear,50,9.1,Jakarta
2025-05-17,21,30.6,Cloudy,70,14.9,Bandung
2025-05-17,22,25.2,Cloudy,67,3.8,Yogyakarta
2025-05-17,23,34.3,Cloudy,88,1.7,Bandung
2025-05-18,1,27.5,Cloudy,59,12.6,Surabaya
2025-05-18,2,33.3,Clear,81,6.4,Surabaya
2025-05-18,3,26.1,Rain,90,0.3,Surabaya
2025-05-18,4,20.4,Rain,52,11.5,Medan
2025-05-18,5,27.4,Clear,84,3.3,Yogyakarta
2025-05-18,6,27.9,Clear,70,4.2,Jakarta
2025-05-18,7,28.1,Cloudy,63,4.5,Bandung
2025-05-18,8,28.9,Rain,49,3.5,Jakarta
2025-05-18,9,30.7,Cloudy,40,3.0,Yogyakarta
2025-05-18,10,21.7,Cloudy,78,3.4,Bandung
2025-05-18,11,31.4,Cloudy,82,1.3,Medan
2025-05-18,12,30.5,Cloudy,49,11.1,Medan
2025-05-18,13,33.2,Clear,65,9.5,Bandung
2025-05-18,14,30.6,Cloudy,42,12.3,Yogyakarta
2025-05-18,15,28.2,Rain,44,1.9,Surabaya
2025-05-18,16,32.9,Clear,69,12.2,Yogyakarta
2025-05-18,17,25.7,Clear,66,6.3,Bandung
2025-05-18,18,22.7,Cloudy,40,6.6,Jakarta
2025-05-18,19,25.1,Rain,49,13.0,Yogyakarta
2025-05-18,20,26.8,Rain,66,3.7,Jakarta
2025-05-18,21,32.2,Cloudy,41,7.5,Yogyakarta
2025-05-18,22,20.3,Cloudy,81,3.3,Surabaya
2025-05-18,23,27.5,Cloudy,77,12.0,Yogyakarta
2025-05-19,1,33.8,Clear,69,12.9,Medan
2025-05-19,2,25.4,Cloudy,86,6.0,Bandung
2025-05-19,3,33.9,Cloudy,50,5.1,Bandung
2025-05-19,4,22.4,Rain,68,12.7,Medan
2025-05-19,5,29.8,Cloudy,87,1.2,Yogyakarta
2025-05-19,6,20.1,Rain,72,1.9,Surabaya
2025-05-19,7,29.8,Cloudy,41,0.4,Yogyakarta
2025-05-19,8,22.6,Rain,74,14.7,Yogyakarta
2025-05-19,9,24.7,Rain,46,9.8,Jakarta
2025-05-19,10,21.6,Rain,70,13.2,Bandung
2025-05-19,11,33.8,Cloudy,85,6.1,Jakarta
2025-05-19,12,27.7,Clear,83,11.7,Medan
2025-05-19,13,30.7,Rain,86,14.1,Medan
2025-05-19,14,30.6,Cloudy,58,8.9,Medan
2025-05-19,15,31.1,Rain,48,3.7,Bandung
2025-05-19,16,34.0,Rain,69,14.5,Surabaya
2025-05-19,17,31.6,Rain,82,4.0,Surabaya
2025-05-19,18,28.0,Cloudy,81,8.4,Surabaya
2025-05-19,19,30.0,Rain,85,8.0,Yogyakarta
2025-05-19,20,24.9,Cloudy,56,9.1,Yogyakarta
2025-05-19,21,23.7,Cloudy,59,4.8,Bandung
2025-05-19,22,29.3,Clear,51,7.2,Surabaya
2025-05-19,23,25.7,Rain,57,12.8,Yogyakarta
2025-05-20,1,21.9,Clear,63,5.6,Yogyakarta
2025-05-20,2,29.0,Clear,63,5.5,Yogyakarta
2025-05-20,3,29.7,Rain,77,6.7,Medan
2025-05-20,4,31.4,Clear,63,10.9,Bandung
2025-05-20,5,29.6,Clear,86,5.2,Jakarta
2025-05-20,6,29.8,Cloudy,50,0.1,Surabaya
2025-05-20,7,20.2,Clear,44,2.8,Bandung
2025-05-20,8,27.3,Clear,84,7.8,Bandung
2025-05-20,9,25.9,Cloudy,65,4.6,Surabaya
2025-05-20,10,25.0,Clear,62,13.1,Yogyakarta
2025-05-20,11,28.6,Clear,57,10.3,Surabaya
2025-05-20,12,28.8,Clear,82,7.8,Bandung
2025-05-20,13,30.8,Cloudy,61,2.1,Yogyakarta
2025-05-20,14,33.8,Cloudy,67,2.9,Yogyakarta
2025-05-20,15,33.6,Rain,86,13.6,Jakarta
2025-05-20,16,34.8,Clear,40,10.0,Surabaya
2025-05-20,17,27.4,Clear,53,0.5,Medan
2025-05-20,18,23.6,Rain,73,9.6,Medan
2025-05-20,19,24.7,Clear,71,8.7,Medan
2025-05-20,20,30.0,Clear,55,14.5,Jakarta
2025-05-20,21,34.5,Cloudy,69,10.9,Jakarta
2025-05-20,22,31.4,Cloudy,57,4.5,Surabaya
2025-05-20,23,24.3,Rain,60,1.1,Surabaya
2025-05-21,1,28.1,Cloudy,68,1.3,Bandung
2025-05-21,2,26.2,Clear,40,4.9,Yogyakarta
2025-05-21,3,25.3,Cloudy,45,5.3,Surabaya
2025-05-21,4,31.8,Rain,57,7.8,Surabaya
2025-05-21,5,33.1,Rain,76,13.5,Medan
2025-05-21,6,23.5,Clear,75,3.5,Bandung
2025-05-21,7,32.5,Clear,78,11.5,Surabaya
2025-05-21,8,22.6,Cloudy,41,7.7,Surabaya
2025-05-21,9,20.9,Clear,40,12.8,Yogyakarta
2025-05-21,10,30.1,Rain,43,10.3,Medan
2025-05-21,11,34.1,Rain,58,9.4,Bandung
2025-05-21,12,26.7,Rain,68,6.8,Bandung
2025-05-21,13,22.4,Rain,40,6.3,Medan
